1,Janice Baker,56,416 Jackson Views,Port Stevestad,Louisiana,95658,159.63138000,-29.93326300
2,William Olson,48,5543 Castro Club,Anthonyview,Maryland,43628,-30.10364500,-1.25861850
6,Kayla James,49,97080 Nelson Route,Whitechester,Nevada,00760,89.78911300,-65.53706400
8,Christopher Phillips,61,9179 Kristie Meadows Suite 653,South Teresa,New Jersey,87178,176.34975000,-10.03326750
9,Joseph Vance,59,540 Davies Mews,North Roberttown,Louisiana,99316,57.45654000,-38.68872100
11,Jacqueline Hodges,50,567 Peter Well,Port Stevenbury,Hawaii,55646,109.13259700,26.22832050
12,Tammy Lopez,68,5021 Sandoval Motorway,Dixonland,Nebraska,24932,121.05790100,-27.55749700
13,Gary Maldonado,59,4078 Whitaker Turnpike,Martinezside,Idaho,33412,-96.00956600,-72.64473400
14,Jacqueline Becker,61,6995 Melanie Rue Apt. 102,Port Mirandaborough,Idaho,02773,-3.78587000,15.76696450
15,Diane Simmons,55,0976 Charles Bypass,Jamesstad,Vermont,47557,154.23926000,8.23254750
17,Jeffrey Johnson,75,84333 Rebecca Alley Suite 105,Hallstad,Ohio,11638,68.74099900,-68.23397900
18,Amanda Lewis,44,39640 Diana Station Suite 471,New Madisonfurt,Arizona,73721,-43.68137800,3.28099500
19,Latasha Nelson,74,127 Steven Meadows Apt. 473,North Sarahbury,Delaware,33987,-49.79100100,11.28078150
20,Melissa Phillips,57,82750 Gregory Courts Suite 432,Payneview,Virginia,54023,-128.05861100,-2.70162900
22,Christian Cook,77,0624 Smith Shore,East Natasha,Virginia,21501,55.05771200,61.39926500
23,Nancy Johnson,63,573 Michael Haven Apt. 909,Sarafurt,Georgia,24645,-116.07479000,86.85164200
24,William Holmes,58,911 Reynolds Glens,Harrellbury,Oklahoma,11400,170.17514000,-48.74059450
25,Sarah Castaneda,78,8138 John Prairie,Beasleybury,Wyoming,61730,67.68504000,-54.40588200
28,Michael Cole,57,1220 Mary Stravenue,Mooretown,West Virginia,80661,-73.91465100,-38.77537050
29,Brandon Harper,70,45475 Desiree Lock Suite 354,Port Erin,Illinois,87528,96.02914400,-58.55272650
30,Michael Ellis,66,8574 Woods Walks,Nancyhaven,New Jersey,53107,-77.40151700,-32.27111350
31,Jennifer Freeman,49,564 Stephanie Flat Apt. 500,Spencermouth,South Carolina,93455,-4.57606400,69.80595400
32,George Harris,59,0276 Smith Neck Suite 678,Chambersville,Wyoming,80114,-4.45783500,18.42158950
33,Sarah Barnett,67,968 Ross Motorway,Lake Brandonberg,South Carolina,82729,-88.52864400,73.54012650
34,Tanya King,63,55660 James Forks Apt. 959,Amyshire,Nebraska,18953,152.39530300,-76.71179600
36,Jessica Holmes,42,53610 Golden Rue,Hawkinsland,Ohio,44084,171.24307300,-39.50316450
38,Yolanda Johnson,78,6350 Tyler Mews Suite 097,North Debra,Nevada,87550,-83.46473700,43.62228350
40,Arthur Price,72,46833 Philip Walks,Luceroside,Wyoming,62744,-4.68503700,-47.52274750
41,Mr. Timothy Garcia Jr.,47,86295 Daniel Meadows Suite 082,Harrisfurt,Arkansas,69525,-51.05779800,16.78929000
44,Shane Mcbride,62,32234 Molly Mountain Suite 757,Nicholasborough,Idaho,61266,-23.22609200,42.64054050
47,Daniel Shelton,72,839 Brian Square,Henryside,Tennessee,61026,147.26391500,-71.45769650
48,Ethan Gould,70,4316 Marcus Lodge,Brianburgh,New Hampshire,82254,21.21049500,-39.24956700
51,Manuel White,65,495 Seth Mountains,South Matthew,Delaware,41028,-127.74799600,8.00734650
53,Susan Jones,63,5382 Sexton Gardens,Port Maureen,New York,66580,147.62862800,54.25684550
54,Jodi Reed,69,7437 Schaefer Brook,Zacharyville,New Mexico,12779,-66.08719400,-4.19663950
55,Bradley Black,57,1928 Lane Orchard Apt. 444,Lake Barry,Oregon,16313,97.64767600,3.25351350
57,Caitlin Beck,74,095 Carroll Flat Apt. 128,Garyview,North Carolina,82515,119.02833400,-75.66296450
58,Richard Soto,41,1203 George Pass,Annahaven,Wyoming,95511,31.36949300,-42.14915400
60,Larry King,79,1274 Dawn Fords Apt. 674,North Nicoleton,Illinois,89284,-39.70188900,-61.52562500
62,Shawn Pitts,59,453 Jacqueline Road,Elizabethberg,Connecticut,62580,-91.27972300,-27.19815500
63,Jeffrey Hogan,63,1645 Davis Pine,Savannahland,Maine,98715,-8.29749200,22.24959650
64,James Branch,70,091 Lang Branch,Maureenmouth,Wyoming,41451,132.97210700,-13.44620450
65,Christopher Page,46,858 Richmond Gateway,Veronicatown,New Mexico,11468,-151.63322900,-67.09946150
67,Joshua Harris,56,25842 Glen Mount Apt. 156,Longfort,Alabama,48477,91.54128700,-73.69861250
70,Gary Gutierrez,70,0365 Amber Villages,Christopherton,Texas,58186,25.16675500,56.18080000
72,Tyler Woods,77,6600 Erica Stream,East Katrinatown,Illinois,04797,-57.22832700,-79.65091600
73,Morgan Sweeney,48,697 Alexander Harbor Suite 421,Lindseyland,Oklahoma,81165,73.80875900,79.12166250
74,Mary Sims,79,209 Laura Bridge,North Tammy,Oregon,56145,-173.83933500,-53.47834350
75,Steven Ramos,64,4673 William Wall,South Summer,Delaware,93164,-6.92280400,-44.98945450
76,Edward Lester,69,720 Charles Park,Lake Robertfurt,Hawaii,80408,-44.70260000,-73.35365250
78,Nicole Harris,72,3792 Chris Springs,New Richardton,Vermont,16945,-58.23090900,68.63763550
79,Christopher Pitts,43,5075 David Club,North Brad,Texas,89742,82.80715100,69.86427050
80,Kari Robinson,63,4310 Lorraine Ford Apt. 969,New Don,Minnesota,62321,138.23741200,1.82569900
81,Jenny Harper,62,194 Evans Green Apt. 099,Lake Raymondville,Pennsylvania,34457,-86.58445300,55.29245700
84,Joshua Wong,43,215 Reyes Inlet Suite 663,Nicolemouth,Nebraska,75905,128.09757100,19.75793700
85,Catherine Russell,61,478 Ray Point,New Alexandraburgh,Alabama,24094,-150.76188100,-43.31701800
86,John Fields,50,051 Gordon Path Suite 812,West Jasmineview,Texas,33348,-153.17519500,2.60263450
87,Jason Wilson,47,643 Robinson Run Apt. 336,Steventon,Kansas,23818,-166.94509000,32.70497750
88,Rebecca Jimenez,61,97102 Martin Point Apt. 779,Kruegerville,Oregon,94217,-114.23385200,-11.00636550
